epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.495,2.33223,4.12019,2.25926,0.00231,0.91228,0.2309,0.08897,1.76902,5.12397,1.94281,0.00056,0.00056,0.00056
2,325.163,1.94786,3.04653,1.91865,0.40392,0.10526,0.14723,0.03399,2.31259,5.18363,2.72565,0.00111743,0.00111743,0.00111743
3,4573.1,2.01242,2.78804,1.95373,0.13334,0.24561,0.10435,0.03812,2.10918,6.98674,2.4565,0.00165189,0.00165189,0.00165189
4,5931.51,2.04283,2.56432,1.91147,0.05248,0.29825,0.03323,0.00895,2.64705,19.496,3.0221,0.0018812,0.0018812,0.0018812
5,6092.84,2.0438,2.34622,1.96953,0.51772,0.35088,0.36178,0.14799,2.57528,6.43766,2.78709,0.0018416,0.0018416,0.0018416
6,6253.47,2.01063,2.30849,1.95335,0.63066,0.61404,0.63328,0.25648,2.15486,5.98662,2.63658,0.001802,0.001802,0.001802
7,6415.9,2.03793,2.15614,1.91206,0.45865,0.61404,0.51048,0.1982,2.13447,7.7483,2.2285,0.0017624,0.0017624,0.0017624
8,6582.94,2.00265,1.97381,1.88932,0.37402,0.64912,0.3419,0.12971,2.11943,3.17418,2.30622,0.0017228,0.0017228,0.0017228
9,6743.46,1.91837,1.91353,1.88576,0.69765,0.68421,0.72142,0.25235,2.0515,5.96066,2.07769,0.0016832,0.0016832,0.0016832
10,6952.48,1.89902,1.87314,1.81828,0.59251,0.66329,0.6574,0.24865,2.05434,5.34297,2.16699,0.0016436,0.0016436,0.0016436
